1.152	0.620
0.628	0.693
0.636	0.692
0.649	0.812
0.657	0.753
0.655	0.512
0.651	0.805
0.669	0.925
0.685	0.795
0.696	0.632
0.692	0.599
0.697	0.783
0.727	0.833
0.752	0.714
0.767	0.534
0.729	0.698
0.746	0.761
0.752	0.739
0.750	0.706
0.721	0.581
0.702	0.659
0.702	0.770
0.712	0.759
0.719	0.624
0.715	0.685
0.709	0.695
0.730	0.803
0.751	0.607
0.765	0.703
0.757	0.701
0.747	0.718
0.757	0.752
0.758	0.763
0.747	0.688
0.728	0.624
0.724	0.741
0.732	0.753
0.738	0.818
0.755	0.346
0.721	0.719
0.752	0.784
0.763	0.752
0.775	0.668
0.759	0.632
0.764	0.709
0.772	0.715
0.776	0.714
0.773	0.619
0.757	0.712
0.763	0.751
0.767	0.768
0.768	0.676
0.744	0.674
0.747	0.889
0.755	0.838
0.755	0.717
0.712	0.671
0.432	0.725
0.940	0.708
0.674	0.881
0.680	0.732
0.736	0.463
0.795	0.707
0.950	0.748
0.975	0.592
0.938	0.637
0.949	0.596
0.927	0.687
0.894	0.555
0.869	0.720
0.850	0.619
0.829	0.685
0.814	0.644
0.838	0.661
0.824	0.631
0.805	0.594
0.829	0.625
0.849	0.718
0.826	0.595
0.842	0.609
0.842	0.613
0.836	0.579
0.800	0.549
0.817	0.625
0.815	0.706
0.808	0.603
0.781	0.578
0.810	0.651
0.810	0.682
0.817	0.655
0.795	0.566
0.789	0.580
0.818	0.627
0.818	0.780
0.812	0.627
0.787	0.646
0.820	0.653
0.828	0.675
0.833	0.610
0.806	0.602
0.833	0.686
0.844	0.711
0.835	0.571
0.806	0.596
0.840	0.662
0.842	0.729
0.846	0.585
0.782	0.569
0.824	0.653
0.821	0.596
0.810	0.598
0.782	0.627
0.816	0.735
0.828	0.698
0.824	0.602
0.797	0.546
0.828	0.642
0.837	0.730
0.826	0.629
0.790	0.576
0.805	0.841
0.782	0.693
0.764	0.668
0.742	0.704
0.769	0.709
0.794	0.765
0.822	0.714
0.800	0.658
0.820	0.720
0.830	0.775
0.835	0.708
0.802	0.581
0.804	0.739
0.801	0.750
0.802	0.730
0.777	0.546
0.791	0.760
0.800	0.777
0.818	0.772
0.797	0.618
0.787	0.717
0.814	0.798
1.022	0.557
0.505	0.577
0.735	0.585
0.718	1.978
0.694	0.850
0.678	0.736
0.664	0.674
0.651	0.761
0.647	0.821
0.648	0.862
0.640	0.750
0.636	0.632
0.629	0.593
0.625	0.749
0.625	0.773
0.627	0.787
0.631	0.653
0.629	0.612
0.630	0.742
0.645	0.853
0.659	0.808
0.681	0.834
0.699	0.589
0.704	0.716
0.722	0.864
0.738	0.866
0.740	0.773
0.726	0.675
0.714	0.824
0.719	0.812
0.707	0.836
0.696	0.731
0.678	0.711
0.673	0.839
0.677	0.845
0.682	0.862
0.688	0.764
0.683	0.649
0.680	0.792
0.691	0.888
0.704	0.823
0.708	0.731
0.710	0.652
0.711	0.778
0.737	0.852
0.750	0.828
0.755	0.675
0.741	0.776
0.741	0.846
0.739	0.829
0.734	0.737
0.714	0.647
0.699	0.813
0.703	0.865
0.708	0.811
0.708	0.671
0.699	0.673
0.710	0.849
0.713	0.856
0.705	0.788
0.686	0.677
0.673	0.603
0.678	0.763
0.693	0.827
0.709	0.827
0.725	0.704
0.718	0.651
0.718	0.806
0.727	0.824
0.733	0.761
0.727	0.646
0.720	0.752
0.734	0.806
0.739	0.802
0.749	0.787
0.736	0.588
0.739	0.801
0.750	0.850
0.751	0.786
0.742	0.667
0.729	0.748
0.731	0.853
0.730	0.833
0.728	0.726
0.717	0.677
0.715	0.871
0.726	0.867
0.732	0.864
0.731	0.638
0.717	0.713
0.721	0.859
0.735	0.842
0.745	0.830
0.745	0.677
0.731	0.790
0.735	0.850
0.736	0.868
0.732	0.684
0.718	0.763
0.721	0.833
0.721	0.862
0.723	0.725
0.717	0.708
0.724	0.830
0.735	0.858
0.740	0.790
0.735	0.643
0.730	0.786
0.736	0.840
0.732	0.849
0.723	0.617
0.707	0.699
0.710	0.898
0.709	0.886
0.711	0.769
0.700	0.666
0.694	0.747
0.698	0.851
0.702	0.861
0.703	0.713
0.693	0.685
0.697	0.854
0.715	0.869
0.738	0.804
0.753	0.684
0.752	0.796
0.755	0.928
0.746	0.897
0.717	0.731
0.688	0.845
0.662	0.715
0.653	0.856
0.655	0.880
0.662	0.875
0.683	0.837
0.699	0.718
0.704	0.807
0.726	0.834
0.744	0.836
0.753	0.735
0.741	0.682
0.743	0.856
0.740	0.846
0.742	0.824
0.734	0.655
0.724	0.792
0.730	0.835
0.732	0.837
0.734	0.682
0.728	0.815
0.740	0.844
0.742	0.847
0.754	0.719
0.743	0.753
0.747	0.833
0.754	0.829
0.754	0.819
0.739	0.753
0.724	0.874
0.683	0.820
0.660	0.614
0.655	0.645
0.650	0.586
0.656	0.671
0.771	0.817
0.958	0.819
0.970	0.810
0.930	0.663
0.935	0.778
0.916	0.808
0.891	0.787
0.851	0.662
0.842	0.777
0.837	0.799
0.833	0.820
0.817	0.706
0.794	0.746
0.802	0.835
0.572	0.584
1.058	0.694
0.764	0.634
0.749	0.792
0.746	0.825
0.750	0.849
0.751	0.757
0.740	0.719
0.772	0.838
0.782	0.847
0.794	0.860
0.780	0.746
0.753	0.754
0.768	0.842
0.766	0.872
0.776	0.867
0.768	0.739
0.749	0.769
0.774	0.836
0.776	0.858
0.784	0.858
0.781	0.753
0.746	0.771
0.777	0.851
0.777	0.867
0.786	0.861
0.766	0.711
0.754	0.801
0.774	0.859
0.779	0.918
0.781	0.709
0.757	0.628
0.771	0.808
0.783	0.853
0.796	0.886
0.784	0.709
0.752	0.724
0.775	0.852
0.777	0.862
0.789	0.817
0.764	0.684
0.776	0.824
0.797	0.868
0.807	0.842
0.799	0.670
0.774	0.777
0.797	0.830
0.798	0.859
0.791	0.824
